Temperature (°C),Pressure (bar),Catalyst Concentration (wt%),Feed Flow Rate (L/min),Yield (%)
206.22,6.32,2.08,10.55,70.62
246.55,4.98,2.8,10.12,78.77
231.24,4.79,2.81,9.85,76.88
221.91,5.48,2.96,10.81,75.49
190.92,6.47,3.09,9.22,78.97
190.92,4.98,3.46,9.99,72.46
184.07,5.84,2.77,9.02,77.69
240.63,6.02,2.48,9.94,81.8
222.08,4.98,3.19,9.11,79.22
229.57,5.96,2.41,9.24,80.42
181.44,5.24,2.66,9.24,68.92
247.89,5.76,2.12,10.3,77.92
238.27,5.77,2.04,10.49,76.65
194.86,5.57,3.44,10.17,79.28
192.73,4.68,3.25,10.92,69.23
192.84,6.17,3.04,9.75,76.54
201.3,5.14,2.61,9.57,71.11
216.73,4.87,2.26,10.74,63.78
210.24,4.58,2.23,9.45,65.12
200.39,5.68,2.38,10.93,72.03
222.83,5.86,2.82,9.02,85.25
189.76,4.53,3.07,10.94,67.05
200.45,5.52,2.99,9.09,78.35
205.65,4.95,2.42,10.78,68.33
211.92,5.79,3.43,10.06,88.45
234.96,4.85,3.11,10.99,80.43
193.98,5.88,2.83,9.15,75.87
216.0,5.27,2.92,10.11,74.64
221.47,6.37,2.63,10.94,75.42
183.25,4.78,2.37,10.05,63.93
222.53,5.18,2.53,10.26,72.57
191.94,4.73,3.14,10.39,67.63
184.55,6.35,2.02,9.91,67.04
246.42,6.25,2.17,10.26,78.65
247.59,5.02,2.07,10.17,78.18
236.59,5.82,2.06,10.8,76.65
201.32,6.13,3.28,9.09,82.44
186.84,5.61,3.06,9.56,77.39
227.9,5.56,2.71,10.9,77.14
210.81,4.98,2.15,10.78,64.98
188.54,4.69,2.74,9.91,70.42
214.66,6.29,2.71,10.24,80.04
182.41,6.3,2.26,9.55,68.23
243.65,5.77,2.65,9.38,83.25
198.11,5.18,2.6,9.93,68.6
226.38,5.2,2.92,9.71,76.38
201.82,5.95,2.95,10.17,78.79
216.4,6.29,2.07,9.16,80.16
218.27,6.27,2.56,10.95,74.19
192.94,6.06,2.94,10.97,75.05
247.87,5.78,2.75,10.4,82.05
234.26,4.67,3.28,10.07,79.52
245.76,4.82,2.99,9.62,80.84
242.64,6.3,2.24,10.63,78.34
221.85,5.71,2.11,10.37,72.78
244.53,4.52,2.96,9.33,79.14
186.19,4.7,2.04,10.82,60.12
193.72,5.83,2.88,10.65,73.1
183.17,4.51,3.41,10.9,68.43
202.77,4.82,2.86,10.45,68.94
207.21,5.6,2.58,10.23,72.18
198.99,5.88,2.96,9.84,78.33
238.01,5.8,2.69,10.87,80.99
204.97,4.95,2.82,10.73,68.89
199.67,5.92,3.41,9.09,82.41
217.99,4.97,2.58,9.05,76.51
189.86,5.15,3.44,9.75,72.34
236.15,5.99,3.36,10.62,87.41
185.22,5.8,2.29,10.97,64.72
249.08,6.2,2.1,9.3,83.58
234.06,5.82,2.15,10.19,74.79
193.91,5.64,2.03,9.76,63.73
180.39,4.69,2.14,10.94,60.0
237.08,5.24,3.02,10.68,80.4
229.48,5.03,2.11,10.68,71.05
231.03,4.99,2.48,9.94,73.3
233.99,6.45,3.27,9.83,90.06
185.18,5.29,2.03,9.55,61.19
205.09,6.28,3.22,9.11,83.21
188.11,5.76,2.42,10.73,65.55
240.42,6.09,2.18,10.63,76.85
223.63,5.51,3.05,11.0,78.46
203.16,5.65,2.94,10.99,72.41
184.45,5.49,3.32,10.11,73.61
201.77,4.89,3.1,10.54,74.62
202.76,5.94,3.21,10.89,76.51
231.07,5.06,2.42,10.7,75.15
224.63,4.55,2.27,9.49,68.78
242.1,5.79,3.13,9.9,87.25
213.06,4.85,3.21,9.26,81.0
188.37,6.38,3.49,10.91,74.02
229.93,6.41,2.62,10.21,80.25
233.25,6.33,2.56,9.46,84.34
219.29,5.24,3.16,10.34,78.16
233.97,4.53,2.51,10.24,74.04
214.57,6.36,3.4,9.72,84.55
216.59,5.36,3.29,9.23,81.94
209.93,6.43,2.64,10.34,77.59
181.78,6.43,3.13,10.04,79.04
187.55,6.21,3.13,10.54,76.41
182.2,5.09,2.15,10.04,63.67
224.55,5.27,3.35,10.7,79.72
202.0,6.2,2.76,10.1,75.69
215.6,5.13,3.24,10.12,77.53
243.53,4.84,2.48,10.75,76.1
197.45,5.61,3.34,9.81,77.54
208.73,6.37,2.58,9.27,79.63
232.89,5.89,2.02,9.06,81.76
196.02,5.64,3.36,10.51,78.67
185.39,4.69,2.14,10.24,60.66
200.28,5.73,2.48,10.41,73.76
191.29,6.48,3.43,9.43,81.65
245.08,4.78,3.43,9.27,81.81
236.57,5.54,2.86,9.03,81.54
224.34,6.25,2.95,9.7,79.95
241.0,5.98,2.67,10.18,81.94
